finding_id,source,package_or_location,cve_or_rule,cvss,classification,owner,due_date,notes
lab40-001,dependency-check,org.apache.tomcat.embed:tomcat-embed-core:10.1.31,34 CVEs >= 7.0 incl CVE-2026-41293(9.8) CVE-2024-50379(9.8) CVE-2025-31651(9.8) CVE-2026-43512(9.8),9.8,true_positive,luke,2026-09-03,"Reachable: embedded servlet container, every HTTP request an agent makes passes through it. Transitive path lab40-crm > spring-boot-starter-web:3.3.5 > spring-boot-starter-tomcat:3.3.5 > tomcat-embed-core:10.1.31. Version is managed by spring-boot-starter-parent, so remediation is a parent bump not a pinned override. Largest single cluster: 34 of 70 findings."
lab40-002,dependency-check,org.springframework:spring-core:6.1.14 and org.springframework:spring-web:6.1.14,"CVE-2026-41855(9.8), CVE-2026-41838(7.5), CVE-2026-41842(7.5), CVE-2026-41848(7.5), CVE-2026-41850(7.5), CVE-2026-41851(7.5)",9.8,true_positive,luke,2026-09-03,Reachable: spring-web is the MVC request path for /api/customers/**. Both arrive via the Boot BOM; spring-core also appears under spring-boot-starter-test but is compile scope in the runtime graph. Same parent-bump remediation as lab40-001.
lab40-003,dependency-check,org.springframework.boot:spring-boot:3.3.5,"CVE-2026-40974(9.8), CVE-2026-22733(8.1), CVE-2026-40972(7.5), CVE-2026-40975(7.5), CVE-2026-40973(7.0)",9.8,true_positive,luke,2026-09-03,"Reachable: the framework the application runs on. Also reported against spring-boot-starter-web under the same CPE, so those 5 findings are the same 5 counted twice, not 10 distinct issues. Parent bump."
lab40-004,dependency-check,org.springframework.security:spring-security-core:6.3.4 and spring-security-web:6.3.4,"CVE-2026-22732(9.1), CVE-2026-47838(8.1), CVE-2026-40988(7.5)",9.1,true_positive,luke,2026-08-27,"Highest priority despite not being the highest score: this is the authn/authz path that SecurityConfig and JwtAuthenticationFilter depend on, and a flaw here undermines the role checks the whole CRM relies on. Transitive via spring-boot-starter-security:3.3.5. Parent bump."
lab40-005,dependency-check,com.fasterxml.jackson.core:jackson-databind:2.17.2,"CVE-2026-54512(8.1), CVE-2026-54513(8.1)",8.1,true_positive,luke,2026-09-03,"Reachable: deserializes every request body, including CreateCustomerRequest on POST/PUT /api/customers. Path lab40-crm > spring-boot-starter-web > spring-boot-starter-json > jackson-databind. Parent bump."
lab40-006,dependency-check,org.postgresql:postgresql:42.7.4,"CVE-2026-42198(7.5), CVE-2025-49146, CVE-2026-54291",7.5,true_positive,luke,2026-09-03,"The one DIRECT dependency in this list, declared at runtime scope in pom.xml, though its version is still managed by the Boot BOM. Reachable: carries every query to crm40. Parent bump moves it, or pin explicitly if the BOM lags."
lab40-007,dependency-check,org.apache.logging.log4j:log4j-api:2.23.1,"CVE-2026-34478(7.5), CVE-2026-34479(7.5), CVE-2026-34480(7.5), CVE-2026-34481(7.5)",7.5,false_positive,luke,2026-08-27,"log4j-core is NOT on the classpath. dependency:tree shows only log4j-to-slf4j:2.23.1 > log4j-api:2.23.1; Boot routes logging to Logback via the slf4j bridge. The matched CPE cpe:2.3:a:apache:log4j covers the log4j product as a whole, and these CVEs require the core implementation that is absent here. Re-verify after any parent bump in case log4j-core is pulled in."
lab40-008,dependency-check,org.eclipse.angus:angus-activation:2.0.2,CVE-2025-7962,7.5,false_positive,luke,2026-08-27,"CPE mismatch. The JAR is org.eclipse.angus:angus-activation but the matched CPE is cpe:2.3:a:eclipse:angus_mail - a different product. angus-activation is the JAF activation implementation; angus-mail is the mail library. Arrives at runtime scope via spring-boot-starter-data-jpa > hibernate-core > jaxb-runtime > jaxb-core, and this application sends no mail."
lab40-009,sast,SecurityConfig.java:33 and CustomerController/CustomerService,object-level-authz-missing,,false_positive,luke,2026-08-27,"Not a defect under current policy: the application has no ownership model - no owner column in V1/V2, no agent-to-customer link - so every agent is entitled to every customer and the role check in SecurityConfig:33 is the correct boundary. Recorded rather than dropped because if the policy is ever that agents are scoped to a book, this becomes the most serious finding in the assessment and needs a schema change, an authz check and a test."
lab40-010,sast,application.yml northstar.security.jwt-secret,committed-default-signing-key,,fixed,luke,2026-08-27,"FIXED and proven. Reproducer ForgedTokenSecurityTest written first: forged ADMIN token signed with the committed default returned HTTP 200 from AdminController#ping. Fix removed the fallback so application.yml reads ${JWT_SECRET}, value supplied via gitignored .env; app now fails startup when absent. Same test, unchanged, now returns 401. Regression: 22 tests before, 23 after, all green."
